                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6646,                 1.5314,                 1.2911,                0.80734,                0.45963,                0.56547,                0.30933,                 1.5594,                    inf,                 1.2233,             0.00055075,             0.00055075,             0.00055075
                      1,                 1.5353,                 1.0139,                 1.2297,                0.74912,                0.48586,                0.55744,                0.30096,                 1.5867,                    inf,                  1.274,              0.0010516,              0.0010516,              0.0010516
                      2,                  1.527,                0.98274,                 1.2334,                0.70734,                0.47598,                0.54562,                0.27883,                 1.6919,                    inf,                 1.3194,              0.0014975,              0.0014975,              0.0014975
                      3,                 1.5121,                 0.9499,                 1.2245,                0.77451,                0.52102,                0.61424,                 0.3356,                 1.5257,                    inf,                  1.243,              0.0014195,              0.0014195,              0.0014195
                      4,                 1.4827,                 0.9169,                 1.2121,                0.76734,                0.53494,                0.61527,                0.33136,                 1.5517,                    inf,                 1.2604,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.4691,                0.90075,                 1.2062,                0.78485,                0.54874,                0.63042,                0.35305,                 1.4492,                    inf,                 1.2017,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.4509,                0.87752,                 1.1955,                0.79264,                0.55476,                0.64733,                0.36482,                 1.4324,                    inf,                  1.184,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.4399,                0.86965,                 1.1875,                 0.7878,                0.55555,                0.64499,                0.36702,                 1.4159,                    inf,                  1.171,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.4256,                 0.8544,                 1.1796,                0.79869,                0.56926,                0.65484,                0.37204,                 1.4075,                    inf,                 1.1598,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.4093,                0.83565,                 1.1744,                0.80539,                0.56882,                0.65788,                0.37897,                 1.3864,                    inf,                 1.1546,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.3901,                0.79214,                 1.1652,                0.80611,                0.56368,                0.66062,                0.38373,                  1.386,                    inf,                 1.1635,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.3779,                0.78028,                 1.1578,                0.80648,                0.57653,                0.66607,                0.38347,                 1.3938,                    inf,                 1.1598,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.3718,                0.77275,                 1.1526,                0.80461,                0.57707,                0.66365,                0.38912,                  1.362,                    inf,                 1.1445,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.3567,                0.75928,                 1.1453,                 0.8156,                0.57488,                0.67072,                0.39483,                 1.3486,                    inf,                 1.1337,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.3486,                0.75192,                 1.1399,                0.81371,                0.58606,                0.67506,                0.39485,                 1.3477,                    inf,                 1.1346,             0.00059429,             0.00059429,             0.00059429
                     15,                   1.34,                 0.7412,                 1.1334,                0.81893,                 0.5865,                0.67951,                0.39637,                 1.3535,                    inf,                  1.137,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.3297,                0.73544,                 1.1298,                0.82219,                0.58257,                0.67967,                0.40128,                   1.33,                    inf,                 1.1246,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.3192,                0.72627,                 1.1253,                0.82317,                0.59482,                0.68739,                 0.4053,                 1.3312,                    inf,                 1.1306,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.3126,                0.71969,                 1.1207,                  0.827,                0.59218,                 0.6863,                0.40781,                 1.3186,                    inf,                 1.1186,             0.00026422,             0.00026422,             0.00026422
                     19,                  1.303,                0.71204,                  1.116,                0.82835,                 0.5953,                0.68917,                0.41134,                 1.3122,                    inf,                 1.1154,              0.0001817,              0.0001817,              0.0001817
